vehicle_type,fuel_type,distance_traveled_km,public_transport_mode,emission_factor_vehicle,appliance_type,appliance_usage_hours,electricity_consumed_kWh,gas_usage_kWh,renewable_energy_contribution,electricity_emission_factor,gas_emission_factor,diet_type,food_item,quantity_consumed_kg,food_emission_factor_kgCO2e,waste_type,disposal_method,waste_generated_kg,waste_emission_factor,season_label,energy_demand_modifier,carbon_emission_total_kgCO2e
bicycle,human,2595.231017752019,private,0.0,washing_machine,3495,4345.065797577733,1035.6660847177939,649.5398612917603,0.177,0.18296,vegetarian,vegetables,880.1214709111956,0.5,general,landfill,319.17017146448484,0.45,Summer,0.7,1542.2494256458422
bus,diesel,6139.200994874958,public,0.12525,refrigerator,3855,6487.307362027533,16759.7695520775,156.52938801897056,0.177,0.18296,meat_heavy,dairy,884.6192688675194,21.0,recyclable,recycling_closed_loop,587.6170839215887,0.021,Winter,1.4,23572.90036991532
bicycle,human,26055.293881943406,private,0.0,tv,4062,9917.704920534024,13573.757159937642,1802.871102309612,0.177,0.18296,vegan,vegetables,1270.7744748330826,0.5,organic,composting,353.08243478952954,0.01,Winter,1.4,4877.80644268115
hybrid_car,hybrid,2807.6859383226715,private,0.11,dishwasher,3290,7869.937227042322,31136.274590274163,2351.413197807498,0.177,0.18296,balanced,chicken,1124.5699864694998,6.1,organic,composting,404.6980593764742,0.01,Winter,1.4,14262.441039496258
hybrid_car,hybrid,15638.991572364854,private,0.11,dishwasher,1459,4521.073363460305,7367.123406702658,264.5835661772756,0.177,0.18296,vegan,fruits,1255.5353643797018,0.4,organic,composting,287.5357908162131,0.01,Spring,1.0,4373.497460442969
hybrid_car,hybrid,8899.804957112572,private,0.11,tv,763,1942.2128546491547,845.1561820936545,727.3322876327445,0.177,0.18296,meat_heavy,chicken,1351.068168488641,6.1,general,landfill,406.7518481410109,0.45,Summer,0.7,9901.934155075302
bicycle,human,12369.410877707036,private,0.0,refrigerator,977,1348.6279836453075,10585.294635746879,326.1393035662275,0.177,0.18296,meat_heavy,chicken,648.2521027153771,6.1,recyclable,recycling_closed_loop,468.60514599984396,0.021,Summer,0.7,6139.571194291264
bicycle,human,5711.84981433667,private,0.0,hvac,855,7168.919214464569,5864.376550599146,1314.666660392812,0.177,0.18296,meat_heavy,beef,723.9797083570218,59.6,recyclable,recycling_closed_loop,407.40947804197754,0.021,Autumn,1.1,45499.59125177523
petrol_car,petrol,11329.754441074732,private,0.17,tv,3830,975.6642149623266,22908.41138949467,315.77005152425744,0.177,0.18296,vegan,vegetables,1133.9345097660077,0.5,organic,composting,391.08799604872115,0.01,Spring,1.0,6860.951903696474
petrol_car,petrol,2750.271095533459,private,0.17,hvac,2684,4482.771095089603,16737.50174483064,591.5911798764068,0.177,0.18296,vegetarian,grains,1100.809303103569,0.8,general,landfill,495.51423205012384,0.45,Autumn,1.1,5426.9187362111725
petrol_car,petrol,2454.065410725734,private,0.17,dishwasher,562,2754.8804046383057,14709.344510551486,190.68205521667312,0.177,0.18296,meat_heavy,dairy,1007.0527103943457,21.0,organic,composting,280.21221074111514,0.01,Autumn,1.1,24746.935663483528
hybrid_car,hybrid,6834.859379976854,private,0.11,hvac,4672,5410.25268507478,11381.999649236941,1280.3214705826172,0.177,0.18296,vegetarian,grains,884.8363518710639,0.8,recyclable,recycling_closed_loop,475.75077100473055,0.021,Spring,1.0,4509.759760568031
diesel_car,diesel,62690.38288630079,private,0.168,hvac,2443,12347.18533499158,12236.01009526422,2847.1906422942366,0.177,0.18296,meat_heavy,dairy,1062.2500309087072,21.0,general,landfill,375.09639604436217,0.45,Winter,1.4,37432.1805635244
petrol_car,petrol,2773.860105511874,private,0.17,tv,2560,1694.4582017229304,24345.45471297816,397.7897216802279,0.177,0.18296,vegetarian,dairy,715.5492580804652,21.0,organic,composting,420.3463635867223,0.01,Spring,1.0,20256.457597254095
petrol_car,petrol,31284.136320222213,private,0.17,dishwasher,2214,1025.9327289794173,2085.044781603373,87.10578453855828,0.177,0.18296,balanced,vegetables,827.7431597343473,0.5,recyclable,recycling_closed_loop,547.9944138890025,0.021,Summer,0.7,6306.752523268129
bus,diesel,3208.539529189854,public,0.12525,refrigerator,4414,4166.725067271609,31370.566553380497,910.6012671490506,0.177,0.18296,meat_heavy,dairy,1381.8833280940262,21.0,recyclable,recycling_closed_loop,261.7200269035664,0.021,Winter,1.4,35903.98478008412
petrol_car,petrol,7821.667432036818,private,0.17,washing_machine,1168,3447.1115145888803,20126.594530681276,252.78192572590135,0.177,0.18296,balanced,dairy,833.8099767177924,21.0,recyclable,recycling_closed_loop,313.6009230320184,0.021,Autumn,1.1,23138.77906731925
diesel_car,diesel,5034.681884634261,private,0.168,hvac,4099,2700.6629827175234,14709.632350243246,500.5355395149535,0.177,0.18296,meat_heavy,chicken,804.4889510402897,6.1,general,landfill,475.5391225825756,0.45,Autumn,1.1,9136.493445867989
bicycle,human,5209.657234351768,private,0.0,dishwasher,967,6070.24311115108,39834.32427159739,195.44215318501097,0.177,0.18296,vegetarian,dairy,639.0235798670963,21.0,general,landfill,457.05986685931595,0.45,Winter,1.4,21987.69311670091
petrol_car,petrol,2903.705581882689,private,0.17,washing_machine,3251,3866.327914564266,6092.280268006077,703.9554263076193,0.177,0.18296,balanced,vegetables,757.7967600475087,0.5,recyclable,recycling_closed_loop,233.84799377310404,0.021,Spring,1.0,2676.4227755253137
petrol_car,petrol,9783.287029774703,private,0.17,refrigerator,4936,7985.165318405029,10969.574648701364,990.1426567981118,0.177,0.18296,meat_heavy,chicken,774.0586290684763,6.1,recyclable,recycling_closed_loop,342.3108130476851,0.021,Winter,1.4,9812.472598537499
petrol_car,petrol,5470.937394918442,private,0.17,washing_machine,3626,12366.4883766293,36384.038268456505,1624.5296410300982,0.177,0.18296,meat_heavy,dairy,879.2029626568359,21.0,general,landfill,379.6954613957007,0.45,Winter,1.4,28409.876614817942
petrol_car,petrol,13791.03549134441,private,0.17,refrigerator,3984,1752.9381903228636,3008.8460299179333,117.55882386616885,0.177,0.18296,balanced,dairy,913.4883624360758,21.0,organic,composting,358.8123033877533,0.01,Summer,0.7,22392.08829704095
bicycle,human,12438.655843426357,private,0.0,washing_machine,2243,4674.2100067938445,6351.151296142973,234.61585352575747,0.177,0.18296,meat_heavy,dairy,918.3849253956897,21.0,organic,composting,367.39764678321586,0.01,Spring,1.0,21279.099222122142
diesel_car,diesel,11774.170660187352,private,0.168,refrigerator,3577,10207.085540947035,43676.75734096387,971.8925751036717,0.177,0.18296,meat_heavy,beef,956.1798942382271,59.6,organic,composting,567.6437312275282,0.01,Winter,1.4,68769.81246867246
hybrid_car,hybrid,20706.838504038835,private,0.11,hvac,4229,1051.921079718359,13890.766954788473,93.64175603008327,0.177,0.18296,meat_heavy,beef,916.9424172198397,59.6,recyclable,recycling_closed_loop,514.375404320693,0.021,Autumn,1.1,59665.96693839571
hybrid_car,hybrid,11629.654874105196,private,0.11,washing_machine,779,2527.7624889187264,12213.417456844572,578.1187869465593,0.177,0.18296,meat_heavy,beef,828.7832348182266,59.6,recyclable,recycling_closed_loop,315.01556305352085,0.021,Spring,1.0,53363.3389765849
train,electricity,9273.869879050006,public,0.03546,refrigerator,3142,4113.751764462109,3845.668443981356,726.2358745086619,0.177,0.18296,balanced,fish,804.2472568435386,5.4,general,landfill,348.9983601145253,0.45,Spring,1.0,6260.57343573838
petrol_car,petrol,2587.095070846671,private,0.17,dishwasher,3530,2854.8912580375986,3406.923921915226,266.04363808058184,0.177,0.18296,meat_heavy,chicken,1375.3591625116132,6.1,recyclable,recycling_closed_loop,535.5637858804951,0.021,Summer,0.7,9969.39044629453
petrol_car,petrol,54635.02316730938,private,0.17,tv,846,10282.733967538235,25392.459396455688,442.78278824190943,0.177,0.18296,meat_heavy,chicken,774.9021905403248,6.1,organic,composting,394.4415329089545,0.01,Winter,1.4,20484.649999497466
petrol_car,petrol,33278.86091152696,private,0.17,washing_machine,4712,3664.657908618097,6364.664451476704,248.16364328480284,0.177,0.18296,vegetarian,grains,1094.2936714271991,0.8,recyclable,recycling_closed_loop,422.38840242791315,0.021,Autumn,1.1,8354.83490641991
bus,diesel,1818.7097398268618,public,0.12525,washing_machine,3021,494.0385006753874,3437.9801322560534,23.55750521038698,0.177,0.18296,balanced,vegetables,1218.8383036941898,0.5,organic,composting,387.4213079900352,0.01,Summer,0.7,1557.5444194574209
hybrid_car,hybrid,2782.941463358063,private,0.11,washing_machine,1896,2419.1151037212285,20268.592400801608,172.3589811662899,0.177,0.18296,meat_heavy,beef,1014.6635934376808,59.6,general,landfill,234.51433281342307,0.45,Spring,1.0,65022.130218630526
bicycle,human,6386.78871586265,private,0.0,washing_machine,3881,3572.8104102801008,15056.361848832817,360.8824073789586,0.177,0.18296,balanced,chicken,945.4552860504659,6.1,general,landfill,249.68570468818933,0.45,Autumn,1.1,9266.735218499558
diesel_car,diesel,41788.161430898595,private,0.168,tv,4766,7942.116447642482,4506.765256475332,1370.0832859231932,0.177,0.18296,balanced,vegetables,778.6948182516659,0.5,general,landfill,512.6565029547758,0.45,Autumn,1.1,9870.766338403891
hybrid_car,hybrid,9133.461733781469,private,0.11,washing_machine,3273,3694.0817681585877,9879.330730520413,1155.5609923210357,0.177,0.18296,vegetarian,vegetables,890.6282117519215,0.5,general,landfill,385.56395880760573,0.45,Spring,1.0,4084.8735014754297
diesel_car,diesel,18952.69957173622,private,0.168,hvac,3270,5008.477144312108,23382.173707934217,32.53225211406926,0.177,0.18296,vegan,grains,1218.3013703844922,0.8,general,landfill,550.3992988582689,0.45,Autumn,1.1,9570.877264992387
diesel_car,diesel,12291.058285320125,private,0.168,hvac,1518,2154.6841529201656,26020.002693349667,390.5263262313299,0.177,0.18296,vegetarian,grains,1350.4540886847246,0.8,recyclable,recycling_closed_loop,322.21833124091245,0.021,Winter,1.4,8294.026435679747
diesel_car,diesel,3229.788832213895,private,0.168,dishwasher,4234,1344.610013959602,6460.7940544199255,123.91114259947092,0.177,0.18296,vegetarian,grains,1142.5996860344776,0.8,organic,composting,448.93745612279184,0.01,Summer,0.7,2881.2364998682638
petrol_car,petrol,16988.0067533679,private,0.17,tv,2787,1462.6056582205329,5916.10681065856,602.1335563325174,0.177,0.18296,vegetarian,grains,1123.1871213888528,0.8,organic,composting,515.9329803364249,0.01,Summer,0.7,5132.962278570114
petrol_car,petrol,1954.131835246574,private,0.17,dishwasher,4204,3428.256048186281,4533.546237743392,321.79548599687354,0.177,0.18296,balanced,chicken,1209.8018451673777,6.1,organic,composting,381.5097863557011,0.01,Summer,0.7,9152.06770556298
hybrid_car,hybrid,15570.421267287333,private,0.11,hvac,1307,4511.468244525596,47513.199835565516,235.69041397682517,0.177,0.18296,vegan,grains,1339.2912736580079,0.8,recyclable,recycling_closed_loop,575.4794181984364,0.021,Winter,1.4,12287.809347306276
bus,diesel,10152.590262754924,public,0.12525,washing_machine,2300,4258.345426389311,15167.967388553521,1043.5580299317683,0.177,0.18296,balanced,chicken,1030.0603522923755,6.1,organic,composting,510.3301882016521,0.01,Autumn,1.1,11088.94183515622
diesel_car,diesel,2241.9725148561865,private,0.168,washing_machine,1675,1322.3568043733683,15111.523354432886,168.88167409699935,0.177,0.18296,balanced,chicken,963.2033327294641,6.1,organic,composting,474.32640940227145,0.01,Spring,1.0,9255.79644354072
diesel_car,diesel,9877.547250050682,private,0.168,refrigerator,575,4459.480903117951,12583.823219213089,56.759835690795114,0.177,0.18296,meat_heavy,chicken,659.4832791524318,6.1,recyclable,recycling_closed_loop,302.1627222384968,0.021,Autumn,1.1,8780.285774044462
train,electricity,12929.24320176185,public,0.03546,tv,1235,5871.0592821330865,3232.424203996269,967.0234649983943,0.177,0.18296,vegan,grains,744.0846066528599,0.8,organic,composting,501.437006501813,0.01,Spring,1.0,2689.3348446224954
hybrid_car,hybrid,2784.493354995067,private,0.11,refrigerator,3189,2327.0649974018256,5939.7466351906305,512.1785901825111,0.177,0.18296,vegetarian,vegetables,718.6677806303555,0.5,recyclable,recycling_closed_loop,324.4617067646677,0.021,Summer,0.7,2171.0684041212944
bicycle,human,11981.956569435522,private,0.0,tv,3385,3867.8609458914084,30903.331721591705,887.6602446800804,0.177,0.18296,meat_heavy,dairy,1036.967224738975,21.0,organic,composting,663.2382064837393,0.01,Winter,1.4,28121.629060788506
hybrid_car,hybrid,10091.976545197433,private,0.11,tv,2807,12347.319167836946,3146.89700396368,594.1824932025437,0.177,0.18296,meat_heavy,beef,859.3647149748225,59.6,general,landfill,390.394010027535,0.45,Winter,1.4,55265.163505535864
train,electricity,34140.89898949603,public,0.03546,washing_machine,1649,6776.356220511476,14090.90151809253,1163.6135386113294,0.177,0.18296,meat_heavy,dairy,1194.510889925346,21.0,general,landfill,343.7533224105732,0.45,Autumn,1.1,30227.54035446529
petrol_car,petrol,9883.73782193121,private,0.17,washing_machine,1047,5320.641516803723,19553.046934791517,910.4055236534961,0.177,0.18296,balanced,chicken,732.9311282579797,6.1,recyclable,recycling_closed_loop,462.0672097550678,0.021,Winter,1.4,10679.997739170552
train,electricity,22333.212159336024,public,0.03546,dishwasher,4124,3723.8626001312423,4278.178721548936,991.2551540367659,0.177,0.18296,balanced,vegetables,667.8078132968017,0.5,recyclable,recycling_closed_loop,445.9180079228437,0.021,Spring,1.0,2577.0631471026595
diesel_car,diesel,3453.773536161945,private,0.168,hvac,1882,1641.6246118911147,14326.038847985858,48.38946322226877,0.177,0.18296,balanced,dairy,1136.3001394745247,21.0,recyclable,recycling_closed_loop,505.3152853332903,0.021,Spring,1.0,27364.808127964447
petrol_car,petrol,7434.2688235581745,private,0.17,hvac,4761,1716.9907314669313,4120.887215707823,299.6166152591244,0.177,0.18296,balanced,vegetables,938.1655753062721,0.5,recyclable,recycling_closed_loop,353.7724711294958,0.021,Summer,0.7,2798.2025940072954
diesel_car,diesel,9125.495751214987,private,0.168,washing_machine,1315,1463.9499433214228,4736.948934467688,434.5960514155249,0.177,0.18296,meat_heavy,beef,1039.310955302315,59.6,general,landfill,356.0268941725825,0.45,Summer,0.7,64762.01964161786
diesel_car,diesel,41268.4261180351,private,0.168,hvac,3924,3133.214907753771,8800.869461505485,368.70475800006744,0.177,0.18296,balanced,chicken,1281.8694880371158,6.1,general,landfill,506.5480375065351,0.45,Spring,1.0,17145.232197083704
bicycle,human,12003.945398567646,private,0.0,tv,4317,8308.799576110961,7383.9338361026075,917.6849042880431,0.177,0.18296,balanced,chicken,943.6430782278985,6.1,general,landfill,347.71399728467316,0.45,Autumn,1.1,8734.316135593257
diesel_car,diesel,9701.941572960868,private,0.168,hvac,913,6449.789900999105,24573.590152987796,1132.3214963591395,0.177,0.18296,meat_heavy,chicken,800.3291918522418,6.1,recyclable,recycling_closed_loop,423.4214732536521,0.021,Winter,1.4,12158.42297236192
hybrid_car,hybrid,16817.721347114337,private,0.11,dishwasher,4311,1885.3310745181802,16956.01819741485,178.43839236187253,0.177,0.18296,balanced,dairy,1098.4902528016298,21.0,general,landfill,438.24097461840506,0.45,Winter,1.4,28551.429785183824
diesel_car,diesel,14239.010620468733,private,0.168,hvac,1202,3575.0627536750712,21641.568919141817,883.1143592884661,0.177,0.18296,vegetarian,vegetables,1237.8033062215104,0.5,general,landfill,344.4522880839745,0.45,Autumn,1.1,7758.386523833966
petrol_car,petrol,26017.231665394494,private,0.17,hvac,1271,3920.0332756559646,21465.923024341013,1074.483961634368,0.177,0.18296,balanced,vegetables,696.8511770005537,0.5,recyclable,recycling_closed_loop,463.2931817755511,0.021,Winter,1.4,9402.335294759165
petrol_car,petrol,6390.7861716333555,private,0.17,dishwasher,2025,5356.137399524364,15117.361149354867,1786.4689699678884,0.177,0.18296,meat_heavy,beef,1402.0409077532697,59.6,recyclable,recycling_closed_loop,433.4456789987025,0.021,Autumn,1.1,88371.08282613331
